,title,rating,price,link
10,"APPLE iPhone 12 (Red, 64 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹59,999",https://www.flipkart.com/apple-iphone-12-red-64-gb/p/itm3481e4053d500?pid=MOBFWBYZDP6QCQ8F&lid=LSTMOBFWBYZDP6QCQ8FEL9UPN&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZDP6QCQ8F.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
11,"APPLE iPhone 13 (Pink, 128 GB)","4.63,884 Ratings & 409 Reviews","₹74,900",https://www.flipkart.com/apple-iphone-13-pink-128-gb/p/itm6e30c6ee045d2?pid=MOBG6VF5GXVFTQ5Y&lid=LSTMOBG6VF5GXVFTQ5YWKHB1V&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5GXVFTQ5Y.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
12,"APPLE iPhone 13 mini (Green, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-green-128-gb/p/itm0888bb6d1e563?pid=MOBGC9VGEFHPSSNA&lid=LSTMOBGC9VGEFHPSSNAYTBHJL&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBGC9VGEFHPSSNA.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
13,"APPLE iPhone 13 (Blue, 128 GB)","4.63,884 Ratings & 409 Reviews","₹74,499",https://www.flipkart.com/apple-iphone-13-blue-128-gb/p/itm6c601e0a58b3c?pid=MOBG6VF5SMXPNQHG&lid=LSTMOBG6VF5SMXPNQHGA3LBB6&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5SMXPNQHG.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
14,"APPLE iPhone 13 Mini ((PRODUCT)RED, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-product-red-128-gb/p/itm2c7e4135cf793?pid=MOBG6VF564UJVCBY&lid=LSTMOBG6VF564UJVCBYASQZUS&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF564UJVCBY.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
15,"APPLE iPhone XR (White, 128 GB)","4.699,759 Ratings & 8,557 Reviews","₹44,999",https://www.flipkart.com/apple-iphone-xr-white-128-gb/p/itm9e2aee74c3be3?pid=MOBFWQ6BXHMWQRH2&lid=LSTMOBFWQ6BXHMWQRH21HMRAG&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWQ6BXHMWQRH2.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
16,"APPLE iPhone 13 Mini (Pink, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-pink-128-gb/p/itm32f5a6b2a4ea3?pid=MOBG6VF5GK7Y9AJ8&lid=LSTMOBG6VF5GK7Y9AJ8PLTZ9D&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5GK7Y9AJ8.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
17,"APPLE iPhone 12 Mini (White, 128 GB)","4.596,794 Ratings & 7,898 Reviews","₹55,199",https://www.flipkart.com/apple-iphone-12-mini-white-128-gb/p/itm9098fa76548ba?pid=MOBFWBYZAGXJRDGB&lid=LSTMOBFWBYZAGXJRDGB76OO6M&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZAGXJRDGB.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
18,"APPLE iPhone 13 Mini (Blue, 128 GB)",4.6666 Ratings & 59 Reviews,"₹64,900",https://www.flipkart.com/apple-iphone-13-mini-blue-128-gb/p/itmdfa435f9c48f8?pid=MOBG6VF5FKSP3VTP&lid=LSTMOBG6VF5FKSP3VTPDLKKE8&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBG6VF5FKSP3VTP.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
19,"APPLE iPhone 12 (Black, 128 GB)","4.61,68,390 Ratings & 11,581 Reviews","₹65,099",https://www.flipkart.com/apple-iphone-12-black-128-gb/p/itmf1f0a58f1ecd7?pid=MOBFWBYZK3HACR72&lid=LSTMOBFWBYZK3HACR72PX4KSA&marketplace=FLIPKART&q=apple+phones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=1677837a-a374-430f-ba93-818422920859.MOBFWBYZK3HACR72.SEARCH&ppt=sp&ppn=sp&ssid=xmxtt23mrk0000001649677034693&qH=28642eda9a15b90f
